date,state,district,age_group_0_to_5,age_group_5_to_17,age_group_18_plus,total_enrolments,pct_age_0_to_5,pct_age_5_to_17,pct_age_18_plus
2025-09-01,Madhya Pradesh,Agar Malwa,3,0,0,3,1.0,0.0,0.0
2025-09-01,Madhya Pradesh,Alirajpur,7,11,0,18,0.3888888888888889,0.6111111111111112,0.0
2025-09-01,Madhya Pradesh,Anuppur,1,0,0,1,1.0,0.0,0.0
2025-09-01,Madhya Pradesh,Anuppur,1,0,0,1,1.0,0.0,0.0
2025-09-01,Madhya Pradesh,Ashok Nagar,19,4,0,23,0.8260869565217391,0.17391304347826086,0.0
2025-09-01,Madhya Pradesh,Ashok Nagar,1,0,0,1,1.0,0.0,0.0
2025-09-01,Madhya Pradesh,Ashok Nagar,7,4,0,11,0.6363636363636364,0.36363636363636365,0.0
2025-09-01,Madhya Pradesh,Balaghat,2,1,0,3,0.6666666666666666,0.3333333333333333,0.0
2025-09-01,Madhya Pradesh,Balaghat,7,0,0,7,1.0,0.0,0.0
2025-09-01,Madhya Pradesh,Barwani,5,5,0,10,0.5,0.5,0.0
2025-09-01,Madhya Pradesh,Barwani,5,5,0,10,0.5,0.5,0.0
2025-09-01,Madhya Pradesh,Barwani,1,6,0,7,0.14285714285714285,0.8571428571428571,0.0
2025-09-01,Madhya Pradesh,Betul,1,0,0,1,1.0,0.0,0.0
2025-09-01,Madhya Pradesh,Betul,12,3,2,17,0.7058823529411765,0.17647058823529413,0.11764705882352941
2025-09-01,Madhya Pradesh,Bhind,0,1,0,1,0.0,1.0,0.0
2025-09-01,Madhya Pradesh,Bhind,1,2,0,3,0.3333333333333333,0.6666666666666666,0.0
2025-09-01,Madhya Pradesh,Bhind,2,3,0,5,0.4,0.6,0.0
2025-09-01,Madhya Pradesh,Bhind,6,7,0,13,0.46153846153846156,0.5384615384615384,0.0
2025-09-01,Madhya Pradesh,Bhopal,1,1,0,2,0.5,0.5,0.0
2025-09-01,Madhya Pradesh,Bhopal,8,2,0,10,0.8,0.2,0.0
2025-09-01,Madhya Pradesh,Bhopal,4,2,0,6,0.6666666666666666,0.3333333333333333,0.0
2025-09-01,Madhya Pradesh,Bhopal,6,1,0,7,0.8571428571428571,0.14285714285714285,0.0
2025-09-01,Madhya Pradesh,Bhopal,8,2,0,10,0.8,0.2,0.0
2025-09-01,Madhya Pradesh,Burhanpur,5,3,0,8,0.625,0.375,0.0
2025-09-01,Madhya Pradesh,Burhanpur,32,19,0,51,0.6274509803921569,0.37254901960784315,0.0
2025-09-01,Madhya Pradesh,Chhatarpur,12,3,0,15,0.8,0.2,0.0
2025-09-01,Madhya Pradesh,Chhatarpur,3,4,0,7,0.42857142857142855,0.5714285714285714,0.0
2025-09-01,Madhya Pradesh,Chhatarpur,5,0,0,5,1.0,0.0,0.0
2025-09-01,Madhya Pradesh,Chhatarpur,5,1,0,6,0.8333333333333334,0.16666666666666666,0.0
2025-09-01,Madhya Pradesh,Chhindwara,3,0,0,3,1.0,0.0,0.0
2025-09-01,Madhya Pradesh,Chhindwara,5,6,0,11,0.45454545454545453,0.5454545454545454,0.0
2025-09-01,Madhya Pradesh,Chhindwara,10,2,0,12,0.8333333333333334,0.16666666666666666,0.0
2025-09-01,Madhya Pradesh,Chhindwara,4,1,0,5,0.8,0.2,0.0
2025-09-01,Madhya Pradesh,Chhindwara,9,2,0,11,0.8181818181818182,0.18181818181818182,0.0
2025-09-01,Madhya Pradesh,Damoh,27,6,0,33,0.8181818181818182,0.18181818181818182,0.0
2025-09-01,Madhya Pradesh,Damoh,29,5,0,34,0.8529411764705882,0.14705882352941177,0.0
2025-09-01,Madhya Pradesh,Dewas,7,11,0,18,0.3888888888888889,0.6111111111111112,0.0
2025-09-01,Madhya Pradesh,Dhar,15,7,0,22,0.6818181818181818,0.3181818181818182,0.0
2025-09-01,Madhya Pradesh,Dhar,10,15,0,25,0.4,0.6,0.0
2025-09-01,Madhya Pradesh,Dhar,6,0,0,6,1.0,0.0,0.0
2025-09-01,Madhya Pradesh,Dhar,3,2,0,5,0.6,0.4,0.0
2025-09-01,Madhya Pradesh,Dindori,9,1,0,10,0.9,0.1,0.0
2025-09-01,Madhya Pradesh,East Nimar,7,6,0,13,0.5384615384615384,0.46153846153846156,0.0
2025-09-01,Madhya Pradesh,East Nimar,4,0,0,4,1.0,0.0,0.0
2025-09-01,Madhya Pradesh,East Nimar,2,2,0,4,0.5,0.5,0.0
2025-09-01,Madhya Pradesh,Guna,14,5,0,19,0.7368421052631579,0.2631578947368421,0.0
2025-09-01,Madhya Pradesh,Guna,7,1,0,8,0.875,0.125,0.0
2025-09-01,Madhya Pradesh,Guna,1,0,0,1,1.0,0.0,0.0
2025-09-01,Madhya Pradesh,Gwalior,7,2,0,9,0.7777777777777778,0.2222222222222222,0.0
2025-09-01,Madhya Pradesh,Gwalior,4,5,1,10,0.4,0.5,0.1
2025-09-01,Madhya Pradesh,Harda,6,9,0,15,0.4,0.6,0.0
2025-09-01,Madhya Pradesh,Harda,14,4,0,18,0.7777777777777778,0.2222222222222222,0.0
2025-09-01,Madhya Pradesh,Hoshangabad,1,0,0,1,1.0,0.0,0.0
2025-09-01,Madhya Pradesh,Hoshangabad,24,1,0,25,0.96,0.04,0.0
2025-09-01,Madhya Pradesh,Indore,10,7,0,17,0.5882352941176471,0.4117647058823529,0.0
2025-09-01,Madhya Pradesh,Indore,1,1,0,2,0.5,0.5,0.0
2025-09-01,Madhya Pradesh,Indore,0,1,0,1,0.0,1.0,0.0
2025-09-01,Madhya Pradesh,Indore,8,3,0,11,0.7272727272727273,0.2727272727272727,0.0
2025-09-01,Madhya Pradesh,Indore,5,2,0,7,0.7142857142857143,0.2857142857142857,0.0
2025-09-01,Madhya Pradesh,Indore,1,0,0,1,1.0,0.0,0.0
2025-09-01,Madhya Pradesh,Indore,11,6,0,17,0.6470588235294118,0.35294117647058826,0.0
2025-09-01,Madhya Pradesh,Indore,5,2,0,7,0.7142857142857143,0.2857142857142857,0.0
2025-09-01,Madhya Pradesh,Jabalpur,6,0,0,6,1.0,0.0,0.0
2025-09-01,Madhya Pradesh,Jabalpur,1,0,0,1,1.0,0.0,0.0
2025-09-01,Madhya Pradesh,Jabalpur,3,0,0,3,1.0,0.0,0.0
2025-09-01,Madhya Pradesh,Jabalpur,1,0,0,1,1.0,0.0,0.0
2025-09-01,Madhya Pradesh,Jabalpur,2,0,0,2,1.0,0.0,0.0
2025-09-01,Madhya Pradesh,Jabalpur,3,2,0,5,0.6,0.4,0.0
2025-09-01,Madhya Pradesh,Jhabua,2,1,1,4,0.5,0.25,0.25
2025-09-01,Madhya Pradesh,Jhabua,3,4,0,7,0.42857142857142855,0.5714285714285714,0.0
2025-09-01,Madhya Pradesh,Katni,4,2,0,6,0.6666666666666666,0.3333333333333333,0.0
2025-09-01,Madhya Pradesh,Katni,2,1,0,3,0.6666666666666666,0.3333333333333333,0.0
2025-09-01,Madhya Pradesh,Katni,8,2,0,10,0.8,0.2,0.0
2025-09-01,Madhya Pradesh,Khandwa,1,4,0,5,0.2,0.8,0.0
2025-09-01,Madhya Pradesh,Khandwa,3,0,0,3,1.0,0.0,0.0
2025-09-01,Madhya Pradesh,Khargone,5,5,0,10,0.5,0.5,0.0
2025-09-01,Madhya Pradesh,Khargone,2,0,0,2,1.0,0.0,0.0
2025-09-01,Madhya Pradesh,Khargone,17,11,2,30,0.5666666666666667,0.36666666666666664,0.06666666666666667
2025-09-01,Madhya Pradesh,Khargone,4,0,0,4,1.0,0.0,0.0
2025-09-01,Madhya Pradesh,Khargone,0,1,0,1,0.0,1.0,0.0
2025-09-01,Madhya Pradesh,Maihar,1,1,0,2,0.5,0.5,0.0
2025-09-01,Madhya Pradesh,Maihar,3,0,0,3,1.0,0.0,0.0
2025-09-01,Madhya Pradesh,Mandla,8,0,0,8,1.0,0.0,0.0
